Equipo,Escenario,Uso_CPU,Uso_Memoria
Ryzen 7,YouTube,43.180146899801635,43.58232403573397
Ryzen 7,YouTube,44.67239700970624,44.71203187118085
Ryzen 7,YouTube,39.83305669984295,46.05316513105201
Ryzen 7,YouTube,42.10382001533331,49.94697656702198
Ryzen 7,YouTube,47.79085261832023,46.72961527515642
Ryzen 7,YouTube,41.95944376337115,49.772760038172905
Ryzen 7,YouTube,44.85205935903629,49.03429493338933
Ryzen 7,YouTube,43.66007747051873,45.420886461997306
Ryzen 7,YouTube,41.47822533475356,41.77667162172648
Ryzen 7,YouTube,41.6709356645399,48.505893501981596
Ryzen 7,YouTube,43.853886565975166,47.18565854833262
Ryzen 7,YouTube,45.64716562249281,43.46674074359536
Ryzen 7,YouTube,47.677299891966165,50.77130513727165
Ryzen 7,YouTube,48.42908693024518,50.69881917843308
Ryzen 7,YouTube,43.26246587196199,46.27359403281692
Ryzen 7,YouTube,44.548966601699206,46.569351880964284
Ryzen 7,YouTube,50.19677763951789,48.34442266831282
Ryzen 7,YouTube,47.89084000525332,48.74364182008195
Ryzen 7,YouTube,44.75610231988133,52.57773391386966
Ryzen 7,YouTube,48.342501163248265,51.5505249298775
Ryzen 7,YouTube,46.878010403138376,49.34552805889113
Ryzen 7,YouTube,38.795720689287194,51.43699765225214
Ryzen 7,YouTube,48.310691535208946,49.17510113134204
Ryzen 7,YouTube,43.4025465235085,49.459635476345106
Ryzen 7,YouTube,47.84156197090836,48.90883161114162
Ryzen 7,YouTube,39.999698817069984,44.81891107550634
Ryzen 7,YouTube,46.02852648074882,49.053189205431416
Ryzen 7,YouTube,44.42777088914112,52.863262952415724
Ryzen 7,YouTube,45.668978681553476,48.50726211173576
Ryzen 7,YouTube,43.78447766794114,50.83977666052581
Ryzen 7,YouTube,43.336107854523455,52.88421818460446
Ryzen 7,YouTube,44.54307712582571,51.53393201175224
Ryzen 7,YouTube,47.60252575876945,41.74173921351354
Ryzen 7,YouTube,43.66933180239032,46.66109759632821
Ryzen 7,YouTube,42.31436952197781,51.807854277384415
Ryzen 7,YouTube,44.863778340826286,48.65653366309867
Ryzen 7,YouTube,48.72885897630644,47.52388459433256
Ryzen 7,YouTube,45.145503121994906,49.84240422630583
Ryzen 7,YouTube,45.567344086269486,52.1075911864383
Ryzen 7,YouTube,46.509090712725865,49.388679063804034
Ryzen 7,YouTube,47.37073977184836,42.53257797010246
Ryzen 7,YouTube,43.76134772538474,51.255347714429206
Ryzen 7,YouTube,43.44942902145525,48.573382976487416
Ryzen 7,YouTube,46.09325296972469,50.28481045909731
Ryzen 7,YouTube,46.87304450064465,47.58030692629753
Ryzen 7,YouTube,47.62833926312006,44.89184746901424
Ryzen 7,YouTube,49.880714750147604,45.68939834474867
Ryzen 7,YouTube,45.47713009935507,53.25900096578479
Ryzen 7,YouTube,46.55655111522748,42.18673819982413
Ryzen 7,YouTube,42.65974430418912,40.83450278091568
Ryzen 7,YouTube,47.56343603814797,50.04585547269464
Ryzen 7,YouTube,44.53156369511337,43.12430456723916
Ryzen 7,YouTube,44.97202759974424,50.317779865072325
Ryzen 7,YouTube,41.42975563795475,49.74177719772467
Ryzen 7,YouTube,46.48915425854102,57.08764797291948
Ryzen 7,YouTube,41.45617593849348,49.322857430869774
Ryzen 7,YouTube,44.99479761477871,49.3818144582042
Ryzen 7,YouTube,48.685855798181066,51.996413997096894
Ryzen 7,YouTube,46.82634990215676,50.684937139764614
Ryzen 7,YouTube,42.685582537762336,48.608338340136946
Ryzen 7,YouTube,46.823945499514586,48.75040329438526
Ryzen 7,YouTube,47.89445442157714,49.937829694834974
Ryzen 7,YouTube,43.550643315760105,55.38804259544281
Ryzen 7,YouTube,42.311668665276216,53.62965986314044
Ryzen 7,YouTube,41.7036393643486,48.727592786149124
Ryzen 7,YouTube,44.2761397874554,50.03240743614896
Ryzen 7,YouTube,44.89616869460048,47.91697233231853
Ryzen 7,YouTube,44.47305380075855,47.93950980014982
Ryzen 7,YouTube,46.082660872220956,45.671572464906475
Ryzen 7,YouTube,39.34706419365949,44.19448932159652
Ryzen 7,YouTube,46.040029557943505,46.292442182387504
Ryzen 7,YouTube,37.29744425308697,45.07059578775582
Ryzen 7,YouTube,45.46789027591855,46.921827606023356
Ryzen 7,YouTube,42.10533720052931,48.849044574791954
Ryzen 7,YouTube,44.51735536139146,49.3977132489994
Ryzen 7,YouTube,46.740779838512665,48.528201166200475
Ryzen 7,YouTube,50.13979737370762,46.6172023591076
Ryzen 7,YouTube,47.20334069815918,54.26380675621854
Ryzen 7,YouTube,41.426097749211934,42.9987244537256
Ryzen 7,YouTube,43.16056527151587,45.1181926323582
Ryzen 7,YouTube,44.588593438253874,47.285111951579566
Ryzen 7,YouTube,45.9956370302211,46.77818918294988
Ryzen 7,YouTube,43.10498096090319,49.71059944238928
Ryzen 7,YouTube,46.961146719803956,43.8349934709618
Ryzen 7,YouTube,46.53085284510829,46.82026712009104
Ryzen 7,YouTube,46.26913596974594,48.69088190995051
Ryzen 7,YouTube,45.06826093544831,46.253945419785474
Ryzen 7,YouTube,45.19971773088656,49.08393079715696
Ryzen 7,YouTube,47.25640041973266,49.43997568503453
Ryzen 7,YouTube,45.97986468949778,46.70900908270385
Ryzen 7,YouTube,48.146193337578694,48.70220138361812
Ryzen 7,YouTube,48.23957432295021,52.653169186893656
Ryzen 7,YouTube,42.86681242426449,53.61812559610002
Ryzen 7,YouTube,49.18105609584129,46.838439938140844
Ryzen 7,YouTube,44.158525828633124,57.59725590814475
Ryzen 7,YouTube,47.80833960946033,48.60974836925684
Ryzen 7,YouTube,41.740585244799654,51.46435263203289
Ryzen 7,YouTube,42.94597885239582,49.433372472543844
Ryzen 7,YouTube,39.962880936417044,45.19948854883522
Ryzen 7,YouTube,42.88685641277721,52.96109873470778
